customer_unique_id,order_id,order_purchase_timestamp,order_total,days_since_order,review_score,product_category_name
eb28e67c4c0b83846050ddfb8a35d051,00018f77f2f0320c557190d7a144bdd3,2017-04-26 10:53:06,259.83,539,4.0,{'pet_shop'}
98758d88bf4b8eef1372ddee45d63178,0017afd5076e074a48f1f1a4c7bac9c5,2017-04-06 22:16:10,853.39,559,1.0,{'informatica_acessorios'}
87ae4c644c15d9c6b6f826dfec33b340,0020a222f55eb79a372d0efee3cca688,2017-08-15 02:45:18,45.09,428,5.0,{'moveis_decoracao'}
d56ded4569dd9821b2f83710a56afbde,0035246a40f520710769010f752e7507,2017-08-17 00:57:23,99.11,426,5.0,{'cama_mesa_banho'}
6204c4e582a95b6a350adf6988623bfb,005d9a5423d47281ac463a968b3936fb,2017-10-18 12:14:29,145.26,364,1.0,"{'bebes', 'brinquedos'}"
f113042ff356f926d517f3087d4a1ba8,00685d31ae12e47470ba5c18ba74f22c,2017-08-27 21:41:16,75.17,416,1.0,{'moveis_decoracao'}
d3581765bcf955dcf282b1642c74157c,0068c109948b9a1dfb8530d1978acef3,2018-01-22 19:46:58,103.38,268,1.0,{'climatizacao'}
88fcb680dc8cd2e540010c0750b78242,00772b2af35643653f108fdac1155ee3,2017-04-24 10:53:12,47.96,541,4.0,{'esporte_lazer'}
35ecdf6858edc6427223b64804cf028e,0095790a64527ec83aeaaf99023c050e,2017-11-15 13:36:30,62.66,336,5.0,{'relogios_presentes'}
8004f80e361a5ee23aadb7418a685fc2,00a250dbdb3153cc6ecf4d3f07ef6a17,2017-12-10 18:07:24,61.77,311,2.0,{'perfumaria'}
c5f6047fb345ffd234cf5b26268988be,00a9536682ecb394a3794c1608200803,2017-05-12 23:38:09,122.17,523,3.0,{'cama_mesa_banho'}
0697142614905a50813d854fa08b8eaf,00ab210695a17fe10e6b23616ae5bc97,2018-06-12 06:19:27,46.53,127,4.0,{'esporte_lazer'}
1373e04979cfa0fb2092909abbd57f25,00b30bb163474583c14db1689259cf4d,2018-01-31 13:57:27,216.51,259,5.0,{'fashion_bolsas_e_acessorios'}
0d51e04ae0b1d341e4f49812d1f4fbe2,00b7174ea52bb811ebe2663add51afc0,2018-05-16 09:57:53,92.97,154,5.0,{'automotivo'}
1f90117a847636892e3c5bf569f2ac68,00c42b1633c1b2fa4e937bf312466561,2018-01-13 13:52:54,55.0,277,5.0,{'moveis_decoracao'}
297ec5afd18366f5ba27520cc4954151,00c9d0257381c7e9ec13b4505f25b2cf,2018-04-18 08:57:18,387.57,182,5.0,{'automotivo'}
cee4e6509d99d45518c65d26971c1cbb,00cb18db3d9c03f8386e7fc70cad2504,2017-07-12 00:06:51,144.03,462,1.0,{'climatizacao'}
013ef03e0f3f408dd9bf555e4edcdc0a,00cee8a4dbb042385cbbd84699e78b2e,2018-07-20 04:13:54,69.07,89,5.0,{'instrumentos_musicais'}
53f34954c078f5034197993c0e109b95,00d94e8901b75ee0d6ef1f87f947b666,2017-05-01 14:11:11,97.4,534,4.0,{'informatica_acessorios'}
0cc2ee1112a11a1094eff52fa2e87150,00d9ac423c9ad6781c0ed04e87666691,2017-10-03 11:54:16,379.2,379,5.0,{'beleza_saude'}
9403bc2d1bc24edda854c1c389c14da1,00ea690fe8c5eba029a3884243a02352,2017-11-25 01:49:52,49.1,326,5.0,{'moveis_decoracao'}
d567f29ec5fa447c99e949f337f3a35c,00f1c7c1542f5f86c3091749d9e939d8,2017-12-15 23:25:04,101.34,305,5.0,{'perfumaria'}
b5b46581465f851df3529a30d2503f59,00fed9e582d5a3e38566872eec164ac6,2017-09-26 14:49:01,412.18,386,5.0,{'cama_mesa_banho'}
b9badb100ff8ecc16a403111209e3a06,00ff0cf5583758e6964723e42f111bf4,2017-04-10 00:45:56,170.15,555,1.0,{'beleza_saude'}
038301b43811478e1a8dc0e476eaf52e,010061e3aa0c6ed5e393dda0652bbee8,2017-11-13 09:49:19,309.29,338,4.0,{'perfumaria'}
d2787622df9fd933c164f7cf696a4e2a,01094e169d4b14edaf6954eeddb83633,2017-09-27 13:54:33,108.86,385,5.0,{'brinquedos'}
51d121ddc025c1b70f8f62a1b727aecf,010b143d83a59b355cd5a75c0f0fd785,2017-08-30 23:28:35,224.6,413,5.0,{'agro_industria_e_comercio'}
ef6f8fd740ae1fe88a80a321306bac50,010efe60bdadc9261d1902f3c1dda5f3,2018-06-07 16:46:09,128.65,132,4.0,{'informatica_acessorios'}
d6caf670c8bf91aed723f242cafb71c8,012b3f6ab7776a8ab3443a4ad7bef2e6,2018-05-04 21:18:05,107.8,166,5.0,{'ferramentas_jardim'}
51d11e5abc725531b3a2fd56456885fa,013056cfe49763c6f66bda03396c5ee3,2018-02-14 12:48:24,254.7,245,4.5,{'esporte_lazer'}
4e65032f1f574189fb793bac5a867bbc,0136390286be8a34efdc801ed150568f,2017-07-16 12:26:05,40.56,458,5.0,{'automotivo'}
2c3ed77b92cba1f5622b5ccaa1792b8b,01443cd06ea8bce82c554a46f307459f,2018-01-03 10:43:02,39.1,287,1.0,{'cama_mesa_banho'}
ebf40c0db4fe06ddd15a7a44238c986e,01490a4bdacbafe6de009b317a0c8bf6,2018-06-12 13:46:53,151.14,127,5.0,{'cama_mesa_banho'}
f80c7e4cf2fa8ff3532323f19bf603ba,014bd8ca0827935402ac39f2751b2fcd,2018-05-09 12:47:39,135.62,161,2.0,{'perfumaria'}
c2919fbdb45366551c1e80d5cb35cd3f,014e36af18c280a94d880a16b2f00713,2017-11-01 18:14:32,85.38,350,5.0,{'informatica_acessorios'}
2d14556024f4bbe01f147576097c42fe,015975a1ff4fdab8ae6f42eaaffd39fb,2018-01-09 20:58:34,167.45,281,5.0,{'papelaria'}
79c389f4fcc007dfbd1f317f29e85030,01677846a819fff5fc22d43d61e58367,2018-05-03 10:12:15,127.87,167,5.0,{'esporte_lazer'}
13613cae6e3bfea8327a916246c96cc9,0176a6846bcb3b0d3aa3116a9a768597,2017-12-25 10:40:52,53.68,296,5.0,{'esporte_lazer'}
a914b2be4782207abc6758095ec9e8aa,01787af385123b93ba50c5f05530ee12,2018-05-15 17:33:50,114.38,155,5.0,{'cine_foto'}
5f8ad624020f7db33a63d5a0e5d14348,0193a99edc8c599aaa16f9b9e991efb8,2018-07-29 07:27:26,170.29,80,5.0,{'livros_interesse_geral'}
a74cca5b53aa3fb9a6841f847033dcc1,01b37f50cf3098b3dd9d0450a188348c,2018-06-26 16:59:10,87.18,113,5.0,{'utilidades_domesticas'}
2dc7f51f05ba1b1a92608e45e55d1fe1,01bae920aea13b891b50bc1543634a65,2017-12-21 20:04:26,67.43,300,4.0,{'bebidas'}
5edb5e94dde197f8fd914eec2975b891,01c79ae32ef95b276907d99e83fe57e5,2017-05-24 20:08:23,24.68,511,5.0,{'telefonia'}
cc0472ed54d7ef34d66a4cad6bf2e666,01d0aabab5da85da61bbd4d40882b82c,2017-08-27 19:21:22,33.0,416,5.0,{'telefonia'}
b26fa76ddf33e534491e4ec46f51bc64,01dcbb39823b4cda39ddcc6679fb00ac,2017-05-29 20:01:57,115.0,506,5.0,{'moveis_decoracao'}
ea94f7a5177a14fde12ff625b03dcd7a,01dfa7b5bb8dcd546273e480c27043bc,2018-04-27 10:01:33,65.99,173,4.0,{'perfumaria'}
25bd804c580bc1ee0c93d073fae09a84,0210f3225937e9d7702e0c3fff098b98,2017-11-25 04:31:42,21.41,326,5.0,{'fashion_bolsas_e_acessorios'}
c0f139fe95b95fe9648723696465c72b,022b1f3510a95b396431fec95f5de236,2018-03-07 11:34:34,113.72,224,2.0,{'esporte_lazer'}
29d72fba272ad06ed0b2ac6351da042f,022c0ddf029d7d3ba3d83bd524805629,2018-02-06 11:21:33,105.66,253,3.0,{'cama_mesa_banho'}
2dacd79aa5d1a86240b37b6c588de551,02355020fd0a40a0d56df9f6ff060413,2018-02-28 16:07:09,69.59,231,2.0,{'moveis_decoracao'}
4702ba5faa8283e0f6b6a545cdaf8a9f,02358a9949662b292e80635305dea78b,2017-05-15 16:59:19,84.69,520,5.0,{'telefonia'}
1501fb94311512e6b98462d159e05a23,023669233121f0fb7899e5be2b22885f,2018-04-16 13:14:09,318.36,184,5.0,{'pet_shop'}
78e63ed7c16b6a93bfdcef66ad250a00,025321e4e9674e090b7bc101f9c5ab5a,2017-06-20 21:56:51,110.82,484,5.0,{'moveis_decoracao'}
27259fad9054fce994a70f1d117bc402,0276bd1aea24c642af813980281af144,2017-03-28 19:34:19,179.48,568,5.0,{'automotivo'}
